CODE|STR
Root|BIFAP2014
B33.3|RH ANTICUERPOS, TIT. DE
B34.2|COAGULACION PRUEBAS DE, Y HEMORR.
B34.3|COAGULACION TIEMPO DE
B34.4|EXAMEN MEDULA OSEA
B34.6|PARCIAL TIEMPO DE TROMBOPLA.
B34.0|ANALISIS DE SANGRE (NO MAPEA)
B34.9|VACIADO ANALITICA
B34.11|TIRAS REACTIVAS
B34.10|LABORATORIO, ANALISIS
B34.7|PROTROMBINA, TIEMPO DE
B50.4|DESCOAGULACIO SINTROM
B50.3|ANTICOAGULACION ORAL (TAO)
B67.1| CONSULTA ESPECIALISTA 
B70.1|ABSCESO GANGLIO, EN
B70.2|LINFADENITIS AGUDA
B70.6|INFECCION, GANGLIOS NC
B71.0|LINFADENITIS CRONICA/INESPECIFICA (NO MAPEA)
B71.3|LINFADENITIS MENESTER. (NO ESPEC.)
B72.8|MICOSIS FUNGOIDE
B72.0|ENFERMEDAD DE HODGKIN/LINFOMAS (NO MAPEA)
B72.6|LIMFOMA DE BURKITT
B72.7|LIMFOMA HISTIOCITIC
B72.2|LINFOMA (MALIGNO) NC
B73.1|LEUCEMIA (TODAS)
B73.0|LEUCEMIA (NO MAPEA)
B73.4|LEUCEMIA MIELOIDE AGUDA 
B73.3|LEUCEMIA MIELOIDE CRONICA
B73.2|LEUCEMIA LINFOBLASTICA AGUDA
B74.9|SINDROME MIELODISPLASICO
B74.2|NEOPLASIA MALIGNA OTRAS BAZO
B74.5|NEOPLASIA MALIGNA LINFATICOS
B75.4|HISTIOCITOSIS X
B76.3|ESPLENECTOMIA
B76.2|LESION BAZO NC
B77.0|OTROS TRAUMA HEMAT/LINF/BAZO (NO MAPEA)
B78.7|RECIEN NACIDO VIVO HEMOLITICA, ENFERME.
B78.5|TALASEMIA
B78.4|TALASEMIA MINOR
B78.3|TALASEMIA MAJOR
B78.2|ANEMIA HEMOLITICA HEREDITARIA
B78.0|ANEMIAS HEMOLITICAS HEREDITARIAS (NO MAPEA)
B78.1|ANEMIA FALCIFORME
B79.0|OTR ANOM CONGEN SANGRE/HEMAT (NO MAPEA)
B79.5|HEMOGLOBINOPATIA
B80.0|ANEMIA FERROPENICA (NO MAPEA)
B80.1|ANEMIA FERROPENICA
B81.1|ANEMIA PERNICIOSA
B81.4|ANEMIA MACROCITICA
